Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count,0,1,2
15566,Microsoft Entra WAM plugin,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,1.0,,,
15566,Microsoft Family Safety,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\ParentalControls_cw5n1h2txyewy,1.0,,,
15566,Microsoft Help and Support,10.0,Microsoft Corporation Inc.,Application,,C:\Windows,1.0,,,
15566,Microsoft Internet Explorer,11.0,Microsoft Corporation Inc.,Web Browser,,C:\Program Files (x86)\Internet Explorer,9.0,,,
15566,Microsoft Malware Protection Command Line Utility,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Windows Defender,2.0,,,
15566,Microsoft Malware Protection Copy Accelerator Utility,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Malware Protection DLP Command Line Utility,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Malware Protection DLP User Agent,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Network Realtime Inspection Service,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Purview Data Loss Prevention Service,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Resource File To COFF Object Conversion Utility,14.32,Microsoft Corporation Inc.,Application,,C:\Windows\Microsoft.NET\Framework64\v4.0.30319,2.0,,,
15566,Microsoft Security Client Policy Configuration Tool,4.18,Microsoft Corporation Inc.,Application,,C:\Program Files\Windows Defender,1.0,,,
15566,Microsoft Tablet PC Component,10.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Common Files\Microsoft Shared\ink,1.0,,,
15566,Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729,9.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,9.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2010 x86 Redistributable - 10.0.30319,10.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664,12.0,Microsoft Corporation Inc.,Add/Remove Programs,,,,,,
15566,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0,Microsoft Corporation Inc.,Add/Remove Programs,,,,,,
15566,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664,12.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664,12.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,,,,,,
15566,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,,,,,,
15566,Microsoft Visual C++ 2019 X64 Additional Runtime - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2019 X86 Additional Runtime - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.27.29112,14.27,Microsoft Corporation Inc.,Add/Remove Programs,"September 09, 2025 12:00:00 AM",,,,,
15566,Microsoft Win32WebViewHost app,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Win32WebViewHost_cw5n1h2txyewy,1.0,,,
15566,MoUSO Core Worker Process,1506.2511,Microsoft Corporation Inc.,Application,,C:\Windows\UUS\Packages\Preview\amd64,1.0,,,
15566,MoUSO Core Worker Process,1451.2510,Microsoft Corporation Inc.,Application,,C:\Windows\UUS\amd64,1.0,,,
15566,Narrator Home,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\microsoft.windows.narratorquickstart_8wekyb3d8bbwe,1.0,,,
15566,Notepad,10.0,Microsoft Corporation Inc.,Application,,C:\Windows,1.0,,,
15566,Notifications host process,1451.2510,Microsoft Corporation Inc.,Application,,C:\Windows\UUS\amd64,1.0,,,
15566,Notifications host process,1506.2511,Microsoft Corporation Inc.,Application,,C:\Windows\UUS\Packages\Preview\amd64,1.0,,,
15566,OESIS Framework V4 3rd Party Host,4.3,OPSWAT Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin\opswat,2.0,,,
15566,OESIS Framework V4 Diagnose,4.3,OPSWAT Inc.,Application,,C:\Program Files\BMC Software\Client Management\Client\bin\opswat,1.0,,,
15566,OOBE Captive Portal Flow,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy,1.0,,,
15566,OOBE Network Connection Flow,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,1.0,,,
15566,Print Dialog,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Windows.PrintDialog_cw5n1h2txyewy,1.0,,,
15566,Print driver host for applications,10.0,Microsoft Corporation Inc.,Application,,C:\Windows,1.0,,,
15566,Print Queue Action Center,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.PrintQueueActionCenter_cw5n1h2txyewy,1.0,,,
15566,Product Improvement Study for HP LaserJet MFP M232-M237,52.3,HP Inc.,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,PWA Identity Proxy Host,144.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115,3.0,,,
15566,PwaHelper executable for Identity Proxy,144.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\144.0.3719.115,3.0,,,
15566,Python,3.10,Python Software Foundation,Application,,C:\Program Files\LibreOffice\program\python-core-3.10.19\bin,1.0,,,
15566,Qt Qtwebengineprocess,5.9,The Qt Company Ltd.,Application,,C:\Program Files (x86)\iVMS-4200 Site\iVMS-4200 Client\Client,2.0,,,
15566,Registry Editor,10.0,Microsoft Corporation Inc.,Application,,C:\Windows,1.0,,,
15566,Safe Reboot Application,9.6,Ivanti,Application,,C:\Program Files\BMC Software\Client Management\Client\data\PatchManagementPremium\workspace,2.0,,,
15566,SendCrashReport,2024.4,Foxit Corporation,Application,,C:\Program Files (x86)\Foxit Software\Foxit PDF Reader,1.0,,,
15566,Settings,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\ImmersiveControlPanel,1.0,,,
15566,Software WatchDog,1.0,,Application,,C:\Program Files (x86)\iVMS-4200 Site\iVMS-4200 Client\Server,1.0,,,
15566,Speech Recognition,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\Speech\Common,1.0,,,
15566,ST Deploy,9.6,Ivanti,Application,,C:\Program Files\BMC Software\Client Management\Client\data\PatchManagementPremium\workspace,1.0,,,
15566,ST Remote Command,9.6,Ivanti,Application,,C:\Program Files\BMC Software\Client Management\Client\data\PatchManagementPremium\workspace,1.0,,,
15566,System Information,10.0,Microsoft Corporation Inc.,Application,,C:\Program Files (x86)\Common Files\Microsoft Shared\MSInfo,2.0,,,
15566,TA Compat service,5.8,Musarubra US LLC.,Application,,C:\Program Files\McAfee\Agent\x86,1.0,,,
